class x string	slot x string	description: 0..1 (recommended)	from_schema: 0..1 x uri	range: 0..1 x element	multivalued: 0..1 x boolean	domain: 0..1 x class_definition	mixins: 0..* x definition	is_a: 0..1 x definition	required: 0..1 x boolean	comments: 0..*	aliases: 0..* x string	see_also: 0..* x uriorcurie	in_subset: 0..* x subset_definition	slot_uri: 0..1 x uriorcurie	todos: 0..* x string	examples: 0..* x example	id_prefixes: 0..* x ncname	source: 0..1 x uriorcurie	broad_mappings: 0..* x uriorcurie	inlined_as_list: 0..1 x boolean	exact_mappings: 0..* x uriorcurie
	growth_facil	Type of facility where the sampled plant was grown; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field. Alternatively use Crop Ontology (CO) terms, see http://www.cropontology.org/ontology/CO_715/Crop%20Research	https://microbiomedata/schema/mixs	controlled term value	False			attribute			growth facility	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001043		Growth chamber [CO_715:0000189]		http://w3id.org/mixs/terms			
	habitat		https://microbiomedata/schema	string																	
	heavy_metals	Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field.	https://microbiomedata/schema/mixs	quantity value	False			attribute			extreme_unusual_properties/heavy metals	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000652		mercury;0.09 micrograms per gram		http://w3id.org/mixs/terms			
	heavy_metals_meth	Reference or method used in determining heavy metals	https://microbiomedata/schema/mixs	text value	False			attribute			extreme_unusual_properties/heavy metals method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000343				http://w3id.org/mixs/terms			
	horizon	Specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath	https://microbiomedata/schema/mixs	text value	False			attribute			horizon	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001082				http://w3id.org/mixs/terms			
	horizon_meth	Reference or method used in determining the horizon	https://microbiomedata/schema/mixs	text value	False			attribute			soil horizon method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000321				http://w3id.org/mixs/terms			
	host_name		https://microbiomedata/schema	string																	
	humidity_regm	Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens	https://microbiomedata/schema/mixs	quantity value	False			attribute			humidity regimen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000568		25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M		http://w3id.org/mixs/terms			
	id	A unique identifier for a thing. Must be either a CURIE shorthand for a URI or a complete URI	https://microbiomedata/schema/basic_slots		False																
	identifier		https://microbiomedata/schema	string																	
	isotope_exposure	List isotope exposure or addition applied to your sample.	https://microbiomedata/schema/mixs_inspired									MIxS:chem_administration									
	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	https://microbiomedata/schema/mixs	geolocation value	False			attribute			geographic location (latitude and longitude)	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000009		50.586825 6.408977		http://w3id.org/mixs/terms			
biosample	lat_lon	This is currently a required field but it's not clear if this should be required for human hosts							False												
	lbc_thirty	lime buffer capacity, determined after 30 minute incubation	https://microbiomedata/schema/bioscales	quantity value	False			attribute			lbc_thirty|lbc30|lime buffer capacity (at 30 minutes)	https://secure.caes.uga.edu/extension/publications/files/pdf/C%20874_5.PDF				543 mg/kg					
	lbceq	lime buffer capacity, determined at equilibrium after 5 day incubation	https://microbiomedata/schema/bioscales	quantity value	False			attribute			lbceq|lime buffer capacity (at 5-day equilibrium)					1575 mg/kg					
	light_regm	Information about treatment(s) involving exposure to light, including both light intensity and quality.	https://microbiomedata/schema/mixs	quantity value	False			attribute			light regimen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000569		incandescant light;10 lux;450 nanometer		http://w3id.org/mixs/terms			
	link_addit_analys	Link to additional analysis results performed on the sample	https://microbiomedata/schema/mixs	text value	False			attribute			links to additional analysis	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000340				http://w3id.org/mixs/terms			
	link_class_info	Link to digitized soil maps or other soil classification information	https://microbiomedata/schema/mixs	text value	False			attribute			link to classification information	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000329				http://w3id.org/mixs/terms			
	link_climate_info	Link to climate resource	https://microbiomedata/schema/mixs	text value	False			attribute			link to climate information	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000328				http://w3id.org/mixs/terms			
	local_class	Soil classification based on local soil classification system	https://microbiomedata/schema/mixs	text value	False			attribute			soil_taxonomic/local classification	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000330				http://w3id.org/mixs/terms			
	local_class_meth	Reference or method used in determining the local soil classification	https://microbiomedata/schema/mixs	text value	False			attribute			soil_taxonomic/local classification method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000331				http://w3id.org/mixs/terms			
	location		https://microbiomedata/schema	string																	
	magnesium	Concentration of magnesium in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			magnesium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000431		52.8 micromole per kilogram		http://w3id.org/mixs/terms			
	manganese	Concentration of manganese in the sample	https://microbiomedata/schema/bioscales	quantity value	False			attribute			manganese					24.7 mg/kg					
	mean_frict_vel	Measurement of mean friction velocity	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean friction velocity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000498		0.5 meter per second		http://w3id.org/mixs/terms			
	mean_peak_frict_vel	Measurement of mean peak friction velocity	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean peak friction velocity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000502		1 meter per second		http://w3id.org/mixs/terms			
	micro_biomass_C_meth	Reference or method used in determining microbial biomass	https://microbiomedata/schema/mixs_inspired							"required if ""microbial_biomass_C"" is provided"		MIxS:micro_biomass_meth									
	micro_biomass_N_meth	Reference or method used in determining microbial biomass nitrogen	https://microbiomedata/schema/mixs_inspired							"required if ""microbial_biomass_N"" is provided"		MIxS:micro_biomass_meth									
	micro_biomass_meth	Reference or method used in determining microbial biomass	https://microbiomedata/schema/mixs	string	False			core field			microbial biomass method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000339				http://w3id.org/mixs/terms			
	microbial_biomass	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	https://microbiomedata/schema/mixs	quantity value	False			attribute			microbial biomass	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000650				http://w3id.org/mixs/terms			
	microbial_biomass_C	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	https://microbiomedata/schema/mixs_inspired									MIxS:microbial_biomass									
	microbial_biomass_N	The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	https://microbiomedata/schema/mixs_inspired									MIxS:microbial_biomass									
	microbial_biomass_meth	Reference or method used in determining microbial biomass	https://microbiomedata/schema/mixs	text value	False			attribute			microbial biomass method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000339				http://w3id.org/mixs/terms			
	misc_param	Any other measurement performed or parameter collected, that is not listed here	https://microbiomedata/schema/mixs	quantity value	False			attribute			miscellaneous parameter	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000752		Bicarbonate ion concentration;2075 micromole per kilogram		http://w3id.org/mixs/terms			
	mod_date	The last date on which the database information was modified.	https://microbiomedata/schema	string																	
	n_alkanes	Concentration of n-alkanes; can include multiple n-alkanes	https://microbiomedata/schema/mixs	quantity value	False			attribute			n-alkanes	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000503		n-hexadecane;100 milligram per liter		http://w3id.org/mixs/terms			
	name	A human readable label for an entity	https://microbiomedata/schema/basic_slots	string	False																
study	name																				
	ncbi_taxonomy_name		https://microbiomedata/schema	string																	
	nitrate	Concentration of nitrate in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			nitrate	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000425		65 micromole per liter		http://w3id.org/mixs/terms			
	nitrite	Concentration of nitrite in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			nitrite	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000426		0.5 micromole per liter		http://w3id.org/mixs/terms			
	non_microb_biomass	Amount of biomass; should include the name for the part of biomass measured, e.g.insect, plant, total. Can include multiple measurements separated by ;	https://microbiomedata/schema/mixs_inspired									MIxS:biomass|microbial_biomass									
	non_microb_biomass_method	Reference or method used in determining biomass	https://microbiomedata/schema/mixs_inspired							"required if ""non-microbial biomass"" is provided"		MIxS:microbial_biomass									
study	notes																				
	objective	The scientific objectives associated with the entity. It SHOULD correspond to scientific norms for objectives field in a structured abstract.	https://microbiomedata/schema/core	string	False																
	org_matter	Concentration of organic matter	https://microbiomedata/schema/mixs	quantity value	False			attribute			organic matter	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000204		1.75 milligram per cubic meter		http://w3id.org/mixs/terms			
	org_nitro	Concentration of organic nitrogen	https://microbiomedata/schema/mixs	quantity value	False			attribute			organic nitrogen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000205		4 micromole per liter		http://w3id.org/mixs/terms			
	org_nitro_method	Method used for obtaining organic nitrogen	https://microbiomedata/schema/mixs_inspired							"required if ""org_nitro"" is provided"		MIxS:org_nitro|tot_nitro_cont_meth									
	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	https://microbiomedata/schema/mixs	quantity value	False			attribute			organism count	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000103		total prokaryotes;3.5e7 cells per milliliter;qPCR		http://w3id.org/mixs/terms			
	other_treatment	Other treatments applied to your samples that are not applicable to the provided fields	https://microbiomedata/schema/mixs_inspired									MIxS:additional_info									
	oxy_stat_samp	Oxygenation status of sample	https://microbiomedata/schema/mixs	text value	False			attribute			oxygenation status of sample	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000753		aerobic		http://w3id.org/mixs/terms			
biosample	part of								True												
	part_org_carb	Concentration of particulate organic carbon	https://microbiomedata/schema/mixs	quantity value	False			attribute			particulate organic carbon	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000515		1.92 micromole per liter		http://w3id.org/mixs/terms			
	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	https://microbiomedata/schema/mixs	text value	False			attribute			perturbation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000754		antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M		http://w3id.org/mixs/terms			
	petroleum_hydrocarb	Concentration of petroleum hydrocarbon	https://microbiomedata/schema/mixs	quantity value	False			attribute			petroleum hydrocarbon	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000516		0.05 micromole per liter		http://w3id.org/mixs/terms			
	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	https://microbiomedata/schema/mixs	quantity value	False			attribute			pH	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001001		7.2		http://w3id.org/mixs/terms			
	ph_meth	Reference or method used in determining ph	https://microbiomedata/schema/mixs	text value	False			attribute			pH method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001106				http://w3id.org/mixs/terms			
	phaeopigments	Concentration of phaeopigments; can include multiple phaeopigments	https://microbiomedata/schema/mixs	quantity value	False			attribute			phaeopigments	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000180		2.5 milligram per cubic meter		http://w3id.org/mixs/terms			
	phosphate	Concentration of phosphate	https://microbiomedata/schema/mixs	quantity value	False			attribute			phosphate	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000505		0.7 micromole per liter		http://w3id.org/mixs/terms			
	phosplipid_fatt_acid	Concentration of phospholipid fatty acids; can include multiple values	https://microbiomedata/schema/mixs	quantity value	False			attribute			phospholipid fatty acid	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000181		2.98 milligram per liter		http://w3id.org/mixs/terms			
	pool_dna_extracts	Indicate whether multiple DNA extractions were mixed. If the answer yes, the number of extracts that were pooled should be given	https://microbiomedata/schema/mixs	text value	False			attribute			pooling of DNA extracts (if done)	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000325		yes;5		http://w3id.org/mixs/terms			
	potassium	Concentration of potassium in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			potassium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000430		463 milligram per liter		http://w3id.org/mixs/terms			
	pressure	Pressure to which the sample is subject to, in atmospheres	https://microbiomedata/schema/mixs	quantity value	False			attribute			pressure	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000412		50 atmosphere		http://w3id.org/mixs/terms			
	previous_land_use	Previous land use and dates	https://microbiomedata/schema/mixs	text value	False			attribute			history/previous land use	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000315				http://w3id.org/mixs/terms			
	previous_land_use_meth	Reference or method used in determining previous land use and dates	https://microbiomedata/schema/mixs	text value	False			attribute			history/previous land use method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000316				http://w3id.org/mixs/terms			
	profile_position	Cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas	https://microbiomedata/schema/mixs	text value	False			attribute			profile position	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001084		summit		http://w3id.org/mixs/terms			
	project_ID	Proposal IDs or names associated with dataset	https://microbiomedata/schema/emsl						False												
	proport_woa_temperature		https://microbiomedata/schema	string																	
	proposal_dna		https://microbiomedata/schema/jgi_metagenomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						504000					
	proposal_rna		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						504000					
	publications	A list of publications that are associated with the entity. The publications SHOULD be given using an identifier, such as a DOI or Pubmed ID, if possible.	https://microbiomedata/schema/core	string	True																
	redox_potential	Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	https://microbiomedata/schema/mixs	quantity value	False			attribute			redox potential	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000182		300 millivolt		http://w3id.org/mixs/terms			
	rel_to_oxygen	Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments	https://microbiomedata/schema/mixs	text value	False			attribute			relationship to oxygen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000015		aerobe		http://w3id.org/mixs/terms			
	replicate_number	If sending biological replicates, indicate the rep number here.	https://microbiomedata/schema/emsl							This will guide staff in ensuring your samples are block & randomized correctly											
	rna_absorb1	260/280 measurement of RNA sample purity	https://microbiomedata/schema/jgi_metatranscriptomics							Recommended value is between 1 and 3.						2.02					
	rna_absorb2	260/230 measurement of RNA sample purity	https://microbiomedata/schema/jgi_metatranscriptomics							Recommended value is between 1 and 3.						2.02					
	rna_collect_site	Provide information on the site your RNA sample was collected from	https://microbiomedata/schema/jgi_metatranscriptomics						False							untreated pond water					
	rna_concentration		https://microbiomedata/schema/jgi_metatranscriptomics						False	Units must be in ng/uL. Enter the numerical part only. Must be calculated using a fluorometric method. Acceptable values are 0-2000.						100					
	rna_cont_type	Tube or plate (96-well)	https://microbiomedata/schema/jgi_metatranscriptomics	rna_cont_type_enum					False							plate					
	rna_cont_well		https://microbiomedata/schema/jgi_metatranscriptomics						False	Required when 'plate' is selected for container type. Corner wells must be blank. For partial plates, fill by columns. Leave blank if the sample will be shipped in a tube.						B2					
	rna_container_ID		https://microbiomedata/schema/jgi_metatranscriptomics						False	Must be unique across all tubes and plates, and <20 characters. All samples in a plate should have the same plate label.						Pond_MT_041618					
	rna_isolate_meth	Describe the method/protocol/kit used to extract DNA/RNA.	https://microbiomedata/schema/jgi_metatranscriptomics						False							phenol/chloroform extraction					
	rna_organisms	List any organisms known or suspected to grow in co-culture, as well as estimated % of the organism in that culture.	https://microbiomedata/schema/jgi_metatranscriptomics													expected to contain microbes (59%) fungi (30%), viruses (10%), tadpoles (1%)					
	rna_project_contact		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						John Jones					
	rna_samp_ID		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						187654					
	rna_sample_format	Solution in which the RNA sample has been suspended	https://microbiomedata/schema/jgi_metatranscriptomics	rna_sample_format_enum					False							Water					
	rna_sample_name	Give the RNA sample a name that is meaningful to you. Sample names must be unique across all JGI projects and contain a-z, A-Z, 0-9, - and _ only.	https://microbiomedata/schema/jgi_metatranscriptomics						False							JGI_pond_041618					
	rna_seq_project		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						1191234					
	rna_seq_project_PI		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						Jane Johnson					
	rna_seq_project_name		https://microbiomedata/schema/jgi_metatranscriptomics						False	Do not edit these values. A template will be provided by NMDC in which these values have been pre-filled.						JGI Pond metatranscriptomics					
	rna_volume		https://microbiomedata/schema/jgi_metatranscriptomics						False	Units must be in uL. Enter the numerical part only. Value must 0-1000. Values <25 by special permission only.						25					
	salinity	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	https://microbiomedata/schema/mixs	quantity value	False			attribute			salinity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000183		25 practical salinity unit		http://w3id.org/mixs/terms			
	salinity_category	Categorcial description of the sample's salinity. Examples: halophile, halotolerant, hypersaline, huryhaline	https://microbiomedata/schema	string								https://github.com/microbiomedata/nmdc-metadata/pull/297									
	salinity_meth	Reference or method used in determining salinity	https://microbiomedata/schema/mixs	text value	False			attribute			salinity method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000341				http://w3id.org/mixs/terms			
	samp_collec_method	The method employed for collecting the sample.	https://microbiomedata/schema/mixs	string	False			nucleic acid sequence source field			sample collection method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0001225		swabbing		http://w3id.org/mixs/terms			
	samp_collect_device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	https://microbiomedata/schema/mixs	text value	False			attribute			sample collection device	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000002		swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]		http://w3id.org/mixs/terms			
	samp_mat_process	A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed.	https://microbiomedata/schema/mixs	controlled term value	False			attribute			sample material processing	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000016		filtering of seawater, storing samples in ethanol		http://w3id.org/mixs/terms			
	samp_size	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected.	https://microbiomedata/schema/mixs	quantity value	False			attribute			amount or size of sample collected	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000001		5 liter		http://w3id.org/mixs/terms			
	samp_store_dur	Duration for which the sample was stored	https://microbiomedata/schema/mixs	text value	False			attribute			sample storage duration	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000116		P1Y6M		http://w3id.org/mixs/terms			
	samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room	https://microbiomedata/schema/mixs	text value	False			attribute			sample storage location	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000755		Freezer no:5		http://w3id.org/mixs/terms			
	samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius	https://microbiomedata/schema/mixs	quantity value	False			attribute			sample storage temperature	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000110		-80 degree Celsius		http://w3id.org/mixs/terms			
	samp_vol_we_dna_ext	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	https://microbiomedata/schema/mixs	quantity value	False			attribute			sample volume or weight for DNA extraction	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000111		1500 milliliter		http://w3id.org/mixs/terms			
	sample_collection_site		https://microbiomedata/schema	string																	
	sample_link	A unique identifier to assign parent-child, subsample, or sibling samples. This is relevant when a sample or other material was used to generate the new sample.	https://microbiomedata/schema/sample_id							This field allows multiple entries separated by ; (Examples: Soil collected from the field will link with the soil used in an incubation. The soil a plant was grown in links to the plant sample. An original culture sample was transferred to a new vial and generated a new sample)						IGSN:DSJ0284					
	sample_shipped	The total amount or size (volume (ml), mass (g) or area (m2) ) of sample sent to EMSL	https://microbiomedata/schema/emsl						False												
	sample_type	Type of sample being submitted	https://microbiomedata/schema/emsl	sample_type_enum					False	This can vary from 'environmental package' if the sample is an extraction.						water extracted soil					
	season_precpt	The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean seasonal precipitation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000645				http://w3id.org/mixs/terms			
	season_temp	Mean seasonal temperature	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean seasonal temperature	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000643		18 degree Celsius		http://w3id.org/mixs/terms			
	sieving	Collection design of pooled samples and/or sieve size and amount of sample sieved	https://microbiomedata/schema/mixs	quantity value	False			attribute			composite design/sieving	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000322				http://w3id.org/mixs/terms			
	size_frac_low	Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			size-fraction lower threshold	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000735		0.2 micrometer		http://w3id.org/mixs/terms			
	size_frac_up	Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			size-fraction upper threshold	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000736		20 micrometer		http://w3id.org/mixs/terms			
	slope_aspect	The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.	https://microbiomedata/schema/mixs	quantity value	False			attribute			slope aspect	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000647				http://w3id.org/mixs/terms			
	slope_gradient	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer	https://microbiomedata/schema/mixs	quantity value	False			attribute			slope gradient	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000646				http://w3id.org/mixs/terms			
	sodium	Sodium concentration in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			sodium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000428		10.5 milligram per liter		http://w3id.org/mixs/terms			
	soil_text_measure	The relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.	https://microbiomedata/schema/mixs	quantity value	False			core field			soil texture measurement	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000335				http://w3id.org/mixs/terms			
